,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years And Over By Industry And Occupation, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER & SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
"    Arts, Entertainment & Recreation",10,9.7,9.6,9.2,9.6,11,9.9,8.4,8,8.3,6.9,6.7,6.1,6.3,5.6,5.6,na,4.1,3,2.8,2.9,2.7,3.8,na,na,na,na,2.9,na,na,na,na,1.7
"    Other Community, Social & Personal Services",11.5,12.7,11.9,11.2,11.5,10.2,10.6,11.1,9.5,9.2,6.9,7.3,8.4,6.1,6.7,6.1,na,6.2,4.7,3.8,4.7,3.5,4.9,11.4,11.6,11.1,9.4,6.4,8.5,6,6.8,4.3,2.6
  Other Industries Nes,5.4,6.3,5.7,6.3,6.5,5.9,5,6.8,6.9,6.7,6.8,6.5,8.6,6,7,6.1,na,3.3,6,5.3,5.3,5.2,3.4,3.3,3.5,3.9,2.6,2.8,2.3,1.9,2,1.6,3.1
Clerical Support Workers,211.8,223.4,215.6,237.2,241,247.9,244.9,267.7,268.4,271.8,265.7,249.3,243.6,236.5,237,231.2,na,220.8,220.4,219.1,217.8,221.9,204.8,223.2,232.6,233.6,227.7,208.3,220.4,215.6,210,210.2,194
  Manufacturing,17.9,17.8,21.5,21.5,23.7,24.6,21.7,25.2,26.9,34.3,33.8,29.4,30.3,31.2,34.6,33.2,na,29.3,32.5,34.4,33.8,35.2,32.2,38.6,40.3,38.2,42.7,33.9,43,44.9,42,39.9,34
  Construction,11.8,13.1,11.9,11.8,13.8,14.3,13.3,15.8,12.9,11.9,13.1,11.1,11.5,12.5,10.6,9.1,na,7.9,9.5,10.5,9,9.9,8.5,9.8,9.3,8.8,8.4,6.6,7.8,6.4,7,5.4,4.9
  Services,180.5,190.6,180.5,201.2,201.8,206.9,208,224.5,225.7,222,215.4,206.3,197.1,190.6,189.5,186.9,na,181.9,176.6,171.4,173.1,174,162.7,173,181.6,184.7,175.1,167,167.7,162.5,159.8,163.3,153.6
    Wholesale & Retail Trade,34.3,39.8,36.2,42,42.1,47.2,49.5,50.2,48.1,40.7,40.6,37.3,34.6,36.5,35.9,37.3,na,44.6,38.1,36.3,37.3,39,39.1,40.8,43,41.2,46.3,36.7,44.1,45.2,43,42.4,42.9
    Transportation & Storage,22.1,21.8,23,26.4,27.8,25.3,26.1,29.3,32.9,33.5,33.2,32.3,32.3,30.2,33.7,30.6,na,29.4,32.3,31.2,29.8,33.8,25.8,32.2,34.2,33.4,33.2,25.6,32.7,30.5,30.5,29.7,22.8
    Accommodation & Food Services,7.6,8.4,9.4,7.4,9,7.9,6.9,7.3,8.3,8.1,7,7.6,6.2,6.2,5.9,5.7,na,5.3,5.3,4.2,5.1,4.6,4.2,7.4,7.8,7.4,6.1,6.5,6.6,5.9,6.2,7.3,6.8
